"","SiteSubsite","NumberPlots"
"1","ABISKO:ABISKODRY_PADDUS",6
"2","ABISKO:ABISKOWET_FLUX",6
"3","ABISKO:ABISKOWET_MULTE",6
"4","ABISKO:PEATLAND",5
"5","ABISKO:lower_forest",5
"6","ABISKO:lower_tundra",5
"7","ABISKO:upper_forest",5
"8","ABISKO:upper_tundra",4
"9","ADVENT:ADVENT_1",6
"10","ADVENT:ADVENT_2",5
"11","ADVENT:ADVENT_3",6
"12","ADVENT:ADVENT_4",4
"13","ADVENT:ADVENT_5",6
"14","ADVENT:ADVENT_6",6
"15","ADVENT:ADVENT_7",6
"16","AKUREYRI:GA66",25
"17","AKUREYRI:HR58",20
"18","AKUREYRI:MD72",25
"19","AKUREYRI:SB63",26
"20","AKUREYRI:SY59",25
"21","ALEXFIORD:CASSIOPE",24
"22","ALEXFIORD:CASSIOPE_COVER",1
"23","ALEXFIORD:DOMEDOLOMITE",11
"24","ALEXFIORD:DOMEGRANITE",9
"25","ALEXFIORD:DRYAS",14
"26","ALEXFIORD:FERT",5
"27","ALEXFIORD:MEADOW",10
"28","ALEXFIORD:WILLOW",10
"29","ANWR:ATIGUN-A",10
"30","ANWR:ATIGUN-B",10
"31","ANWR:ATIGUN-C",10
"32","ANWR:JAGO-A",10
"33","ANWR:JAGO-B",10
"34","ATQASUK:AD",24
"35","ATQASUK:AG",88
"36","ATQASUK:AW",24
"37","ATQASUK:RATE_BETULA_SHRUB",8
"38","ATQASUK:RATE_CAREX_ WET_MEADOW",3
"39","ATQASUK:RATE_DRYAS_HEATH",6
"40","ATQASUK:RATE_ERIOPHORUM_WET_MEADOW",3
"41","ATQASUK:RATE_HIEROCHLOE_DRY_MEADOW",11
"42","AUDKULUHEIDI:BETULAHEATH",10
"43","AUYUITTUQ:OWL RIVER",10
"44","BARROW:ARCTOPHILA_POND_ORDINATION",1
"45","BARROW:BD",24
"46","BARROW:BG",98
"47","BARROW:BW",24
"48","BARROW:CAREX WET MEADOW_ORDINATION",2
"49","BARROW:CAREX_MESIC MEADOW_ORDINATION",10
"50","BARROW:CAREX_MOIST MEADOW_ORDINATION",7
"51","BARROW:CAREX_MOIST_MEADOW_MICROTOPO",86
"52","BARROW:CAREX_WET_MEADOW_MICROTOPO",37
"53","BARROW:DRY_HEATH_ORDINATION",3
"54","BARROW:DUPONTIA_WET_MEADOW_MICROTOPO",10
"55","BILLEFJORDEN:AWS",42
"56","BLONDUOS:SD33",26
"57","BLONDUOS:SD34",29
"58","BROOKS:SHEEN-B",10
"59","BYLOT:MESPOLYGON",24
"60","BYLOT:MESPRAIRIE",24
"61","DALSMYNNI:AG4",14
"62","DALSMYNNI:KD24",18
"63","DALSMYNNI:KD25",28
"64","DALSMYNNI:KK5",15
"65","DARING:DARINGOTCB",3
"66","DARING:DARINGOTCF",3
"67","DISKO:DISTURBANCE",15
"68","DISKO:DRYHEATH_FLUX",5
"69","DISKO:WETFEN_FLUX",4
"70","ENDALEN:BIS-H",5
"71","ENDALEN:BIS-L",5
"72","ENDALEN:CAS-H",4
"73","ENDALEN:CAS-L",5
"74","ENDALEN:DRY-H",5
"75","ENDALEN:DRY-L",4
"76","FAROE:SORNFELLI",8
"77","FINSE:NFINSE",9
"78","FURI:FURI4",20
"79","FURI:FURI5",20
"80","FURI:FURI6",20
"81","HJARDARLAND:HA75",25
"82","HJARDARLAND:HF73",25
"83","HJARDARLAND:LH92",26
"84","HJARDARLAND:SH90",19
"85","HOLTAVORDUHEIDI:AH36",24
"86","HOLTAVORDUHEIDI:AH37",23
"87","HOLTAVORDUHEIDI:AH38",23
"88","HOLTAVORDUHEIDI:VH49",26
"89","HOLTAVORDUHEIDI:VH50",24
"90","IGLOOLIK:IGLOOLIK",4
"91","JAMESONLAND:COLORADO",33
"92","JAMESONLAND:LODIN",9
"93","JAMESONLAND:MAJOR",28
"94","JAMESONLAND:TYSKIT",60
"95","KILPISJARVI:KILPISJARVI",5
"96","KLUANE:PIKA",2
"97","LATNJA:DRY_HEATH",11
"98","LATNJA:DRY_MEADOW",5
"99","LATNJA:POOR_HEATH",8
"100","LATNJA:RICH_MEADOW",8
"101","LATNJA:TUSSOCK_TUNDRA",5
"102","LATNJA:WET_MEADOW",5
"103","LOGH:LOGH2",19
"104","LOGH:LOGH4",20
"105","LOGH:LOGH5",20
"106","LORI:LORI1",20
"107","LORI:LORI3",19
"108","LORI:LORI4",20
"109","MODRUVELLIR:LH69",24
"110","MODRUVELLIR:ML54",24
"111","MODRUVELLIR:MV51",24
"112","MODRUVELLIR:MV52",20
"113","NAKKALA:10",15
"114","NAKKALA:8",18
"115","NAKKALA:9",15
"116","NARSARSUAQ:HIGH_ELEVATION",8
"117","NUUK:KOBBEFJORD",18
"118","OXNADALSHEIDI:SA16",24
"119","OXNADALSHEIDI:SA17",24
"120","OXNADALSHEIDI:SA19",24
"121","PYRAMIDEN:PYR",42
"122","QHI:HE",6
"123","QHI:KO",6
"124","QUTTINIRPAAQ:TANQUARY_FIORD",10
"125","RIRI:RIRI2",20
"126","RIRI:RIRI4",20
"127","RIRI:RIRI6",19
"128","SADVENT:MES_COVER",4
"129","SADVENT:MES_POINTFRAME",5
"130","SADVENT:WET_COVER",4
"131","SADVENT:WET_POINTFRAME",4
"132","THINGVELLIR:MOSS HEATH",10
"133","THUFUVER:PALSA",78
"134","THUFUVER:SALIXHEATH",60
"135","THYKKVIBAER:HH100",26
"136","THYKKVIBAER:RT81",22
"137","THYKKVIBAER:VE82",27
"138","TOOLIK:DRY",3
"139","TOOLIK:IMNAVAIT",71
"140","TOOLIK:MOIST",7
"141","TOOLIK:TUSSOCKGRID",85
"142","WOLFCREEK:WOLFCREEK",10
"143","ZACKENBERG:ABRASION PLATEAU",4
"144","ZACKENBERG:CASSIOPE TETRAGONA HEATH",5
"145","ZACKENBERG:CASSIOPE_SITE",5
"146","ZACKENBERG:CASSIOPE_SITE_FLUX",5
"147","ZACKENBERG:DRYAS HEATH",5
"148","ZACKENBERG:FEN",5
"149","ZACKENBERG:GRASSLAND",5
"150","ZACKENBERG:OPEN DRYAS VEGETATION",5
"151","ZACKENBERG:SALIX ARCTICA SNOWBED",5
"152","ZACKENBERG:SALIX_SITE",5
"153","ZACKENBERG:SALIX_SITE_FLUX",5
"154","ZACKENBERG:VACCINIUM ULIGONOSUM HEATH",5
