"","LONG","LAT","TempSeas","TempMaxSum","TempMinWin","TempAvSum","TempAvWin","PrecipAnn","PrecipSeas","SnowAnn"
"1",18.5115,68.1933,8562,14.2,-16.2,9.9,-13,499,30,342
"2",18.49582,68.20462,8522,13.2,-17.1,8.9,-13.9,635,30,438
"3",18.812886,68.358087,8698,16.5,-14.2,12.3,-11,406,29,273
"4",18.8356,68.3284,8681,15.7,-15.1,11.4,-11.9,462,30,303
"5",18.8417,68.3244,8679,15.4,-15.3,11.2,-12.1,455,29,295
"6",18.858,68.3145,8671,15.1,-15.6,10.8,-12.4,450,30,288
"7",18.863,68.3133,8670,15,-15.7,10.8,-12.5,450,30,288
"8",16.018237,78.174119,7295,5.8,-17.3,4.4,-14.5,279,22,213
"9",16.021313,78.17192,7295,5.8,-17.3,4.4,-14.5,279,22,213
"10",16.029034,78.171112,7295,5.8,-17.3,4.4,-14.5,275,22,209
"11",16.054887,78.168357,7298,5.8,-17.3,4.4,-14.5,271,23,206
"12",16.052656,78.170617,7298,5.8,-17.3,4.4,-14.5,271,23,206
"13",16.061398,78.171784,7298,5.8,-17.3,4.4,-14.5,267,22,204
"14",16.067786,78.172873,7297,5.8,-17.3,4.4,-14.5,265,23,202
"15",-17.97208,65.59293,4774,10.8,-7.2,8.2,-4.3,469,27,354
"16",-18.1559,65.56427,4796,11.1,-6.9,8.5,-4,493,30,377
"17",-18.0768,65.51392,4778,11.8,-6.1,9.3,-3.2,384,28,287
"18",-18.24216,65.44984,4780,11.3,-6.6,8.7,-3.7,433,29,325
"19",-18.22637,65.50548,4785,10.1,-7.9,7.5,-5,505,30,384
"20",-75.78341,78.87448,12339,5.2,-30.5,3.5,-28.6,130,48,81
"21",-75.90053,78.86221,12176,3,-32.4,1.2,-30.5,152,51,96
"22",-75.90385,78.86192,12176,3,-32.4,1.2,-30.5,152,51,96
"23",-75.7826,78.8719,12339,5.2,-30.5,3.5,-28.6,130,48,81
"24",-75.79107,78.87107,12346,5.2,-30.6,3.4,-28.6,132,50,83
"25",-75.80909,78.87558,12432,5.6,-30.5,3.8,-28.5,129,51,80
"26",-75.79867,78.87421,12346,5.1,-30.7,3.4,-28.7,135,48,86
"27",-149.3521345,68.4746405,13832,13.4,-30.7,8.7,-27.6,311,82,150
"28",-149.352222,68.4759725,13742,12.6,-31.3,8,-28.1,329,80,159
"29",-149.319503,68.454758,13980,14.7,-29.8,10.1,-26.7,245,93,98
"30",-143.626875,69.70312,13830,15.1,-28.5,10.6,-25.5,168,77,75
"31",-143.616045,69.71159,13805,15,-28.5,10.6,-25.5,171,76,78
"32",-157.4073879,70.45373011,13793,12.9,-31.5,8,-28.1,138,92,66
"33",-157.403942,70.451449,13793,12.9,-31.5,8,-28.1,138,92,66
"34",-157.4003018,70.45303348,13793,12.9,-31.5,8,-28.1,138,92,66
"35",-157.414293,70.456021,13792,12.9,-31.5,8,-28.1,138,92,66
"36",-19.71319,65.21748,5218,11.3,-8.5,8.2,-5.4,507,19,348
"37",-64.69,66.88,11292,8.7,-27.8,5.3,-25.4,233,48,155
"38",-156.64,71.29,11159,5.9,-26.8,3.7,-24.7,117,78,42
"39",-156.6010247,71.31502696,11105,5.7,-26.7,3.6,-24.7,117,78,42
"40",-156.592799,71.310312,11106,5.7,-26.7,3.6,-24.7,117,78,42
"41",-156.5978987,71.31051842,11106,5.7,-26.7,3.6,-24.7,117,78,42
"42",16.45535,78.71061,7577,5.3,-18.3,3.9,-15.7,243,32,193
"43",-20.22768,65.50305,5201,12.4,-7.3,9.4,-4.2,388,20,276
"44",-20.22503,65.50146,5204,12.1,-7.6,9.1,-4.5,404,20,286
"45",-143.7246513,68.5734993,14543,15.2,-30.8,10.6,-27.7,218,78,97
"46",-79.9044525,73.1682958,14865,9.5,-35.8,5.9,-33.5,211,60,123
"47",-79.9843858,73.1399267,14809,9.3,-35.9,5.7,-33.7,235,60,137
"48",-19.30559,65.78468,5000,13,-5.6,10.4,-2.7,482,20,353
"49",-19.02952,65.77321,4957,11.8,-6.7,9.2,-3.8,510,23,380
"50",-19.04222,65.77286,4959,11.5,-7,8.9,-4.1,550,23,411
"51",-19.36136,65.80262,4998,13.2,-5.4,10.6,-2.6,508,20,370
"52",-111.5666667,64.86666667,14450,17.1,-30.9,11,-27.1,308,54,190
"53",-53.45,69.27,8144,9.7,-18.6,6.5,-15.9,384,44,254
"54",-53.78,69.43,8413,10.6,-18.5,7.4,-15.7,377,46,238
"55",15.74496,78.18557,7296,5.4,-17.8,4,-14.9,325,19,244
"56",-6.95,62.066667,2404,8.9,0.6,8.3,1.8,2109,31,1750
"57",7.5197935,60.61497203,6723,12.2,-12.7,7.8,-10.2,1071,26,833
"58",12.6375,61.63542,7488,16,-12.1,11.1,-9,743,33,471
"59",-20.26565,64.06638,4313,12.7,-3.2,10.5,-0.8,1176,15,890
"60",-20.27764,64.03843,4281,12.9,-2.8,10.7,-0.5,1191,15,905
"61",-20.59859,64.22035,4487,13.2,-3.5,10.8,-1,1342,15,1028
"62",-20.56942,63.97814,4149,13,-2,11.1,0.2,1188,16,904
"63",-20.54624,65.08352,5256,12,-8.1,8.8,-4.9,541,17,400
"64",-20.58339,65.06794,5255,12.4,-7.8,9.1,-4.6,499,18,370
"65",-20.58907,65.07728,5258,12.6,-7.6,9.3,-4.4,475,17,352
"66",-20.43913,65.22778,5261,12,-8.1,8.9,-4.9,497,17,363
"67",-20.4487,65.23772,5260,12.1,-8,8.9,-4.9,490,17,359
"68",-81.53,69.389,13708,8.6,-33.6,5.5,-31.4,242,47,130
"69",-23.97807302,71.58566298,8937,4.8,-23.6,2,-21.1,248,27,194
"70",-24.05517697,71.39768296,8554,3.7,-23.6,0.9,-21.1,325,27,254
"71",-24.34597897,71.49365399,8954,6.3,-22.2,3.5,-19.7,373,27,292
"72",-24.225714,71.05257704,8226,6.4,-19.8,3.7,-17.4,377,26,297
"73",20.8199,69.068,8627,13.9,-16.6,9.7,-13.6,506,32,323
"74",-138.2666667,61.21666667,8643,9.1,-21.6,4.5,-18.4,396,54,193
"75",18.49531,68.35572,8467,12.7,-17.4,8.5,-14.1,709,29,517
"76",18.49756,68.35683,8467,12.7,-17.4,8.5,-14.1,709,29,517
"77",18.49,68.35,8462,12.7,-17.4,8.5,-14.1,673,29,489
"78",18.65,68.35,8521,12.8,-17.5,8.6,-14.2,686,29,491
"79",18.4913635,68.3551536,8462,12.7,-17.4,8.5,-14.1,673,29,489
"80",12.34458,62.10253,7333,15.2,-12.2,10.4,-9.3,786,32,502
"81",12.27236,62.11508,7354,16,-11.4,11.2,-8.5,607,36,376
"82",-18.10823,65.93894,4690,11.9,-5.5,9.5,-2.8,535,31,421
"83",-18.21928,65.73728,4808,12.1,-5.8,9.6,-3,501,31,388
"84",-18.27375,65.77726,4804,11.7,-6.1,9.3,-3.3,541,32,425
"85",-18.28029,65.76853,4806,11.5,-6.4,9,-3.6,549,32,431
"86",23.845139,68.834417,8732,15.7,-15.2,11.2,-12.5,396,53,211
"87",23.80475,68.837306,8733,15.8,-15.2,11.3,-12.4,378,56,197
"88",23.821889,68.835083,8736,15.8,-15.2,11.4,-12.4,368,55,193
"89",-45.4,61.16,7233,10.3,-14.9,6.8,-12,710,24,522
"90",-51.3831,64.1361,6983,10.3,-14.6,7.2,-11.5,640,23,438
"91",-18.69754,65.46684,4906,8.5,-10,5.8,-7.1,524,24,392
"92",-18.69386,65.46596,4916,9.8,-8.7,7.1,-5.8,452,25,337
"93",-18.90435,65.48131,4988,9.5,-9.3,6.8,-6.3,537,20,390
"94",16.19464,78.64935,7586,5.6,-18,4.2,-15.4,230,27,179
"95",-138.86347,69.57488,12451,10.3,-26.6,7.6,-24.2,164,76,64
"96",-138.86774,69.57646,12453,10.3,-26.6,7.6,-24.2,164,76,64
"97",-76.48755,81.39631,14022,5.1,-36.7,2.6,-34.3,45,69,23
"98",17.53611,67.77306,8103,13.9,-14.9,9.7,-12,650,26,454
"99",15.934,78.19,7316,6,-17.2,4.6,-14.4,264,21,193
"100",15.93,78.19,7315,6,-17.2,4.6,-14.4,268,20,197
"101",15.934124,78.1899916,7316,6,-17.2,4.6,-14.4,264,21,193
"102",16.04,78.1,7149,3.1,-19.6,1.7,-16.8,295,22,206
"103",-21.06941,64.28083,4511,13.1,-3.7,10.7,-1.1,1257,16,975
"104",-18.6,64.57,4223,8.4,-7.6,6,-4.9,952,18,708
"105",-20.16786,63.5641,3675,12.8,-0.2,11.3,1.7,1332,17,1027
"106",-21.15821,63.98622,4040,12.7,-1.8,10.9,0.3,1551,13,1170
"107",-21.16772,63.97085,4011,13.1,-1.2,11.4,0.9,1344,13,1013
"108",-149.61,68.62,14073,15.1,-29.8,10.3,-26.7,249,83,105
"109",-149.28,68.62,13939,14.2,-30.3,9.4,-27.2,277,91,110
"110",-135.13,61.56,10332,19.7,-16.9,14.5,-13.5,265,51,141
"111",-20.52895,74.47427,9780,6.3,-23.4,4.1,-20.8,182,34,141
"112",-20.54284746,74.47510333,9802,6.1,-23.7,3.9,-21,177,33,138
"113",-20.54053855,74.47508063,9788,6.1,-23.6,3.9,-21,178,34,139
